"year","rank","movie","tconst","distributor","theaters","gross","totalgross","releasedate","name","nconst","ordering","category","gender","ethnicity","isomerism","orientation","disability"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Chadwick Boseman","nm1569276",1,"actor","man","black","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Michael B. Jordan","nm0430107",2,"actor","man","black","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Lupita Nyong'o","nm2143282",3,"actor","woman","black","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Danai Gurira","nm1775091",4,"actor","woman","black","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Ryan Coogler","nm3363032",5,"director","man","black","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Joe Robert Cole","nm1963288",6,"writer","man","black","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Stan Lee","nm0498278",7,"writer","man","white","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Jack Kirby","nm0456158",8,"writer","man","white","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Kevin Feige","nm0270559",9,"producer","man","white","cis","straight","nondisabled"
2018,1,"Black Panther","tt1825683","Walt Disney Studios Motion Pictures",4084,700059566,700059566,"Feb 16","Ludwig Göransson","nm3234869",10,"composer","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Robert Downey Jr.","nm0000375",1,"actor","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Chris Hemsworth","nm1165110",2,"actor","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Mark Ruffalo","nm0749263",3,"actor","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Chris Evans","nm0262635",4,"actor","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Anthony Russo","nm0751577",5,"director","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Joe Russo","nm0751648",6,"director","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Christopher Markus","nm1321655",7,"writer","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Stephen McFeely","nm1321656",8,"writer","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Stan Lee","nm0498278",9,"writer","man","white","cis","straight","nondisabled"
2018,2,"Avengers: Infinity War","tt4154756","Walt Disney Studios Motion Pictures",4474,678815482,678815482,"Apr 27","Jack Kirby","nm0456158",10,"writer","man","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Craig T. Nelson","nm0005266",1,"actor","man","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Holly Hunter","nm0000456",2,"actor","woman","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Sarah Vowell","nm1102970",3,"actor","woman","white","cis","NA","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Huck Milner","nm9133740",4,"actor","man","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Brad Bird","nm0083348",5,"director","man","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Nicole Paradis Grindle","nm0342430",6,"producer","woman","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","John Walker","nm0907869",7,"producer","man","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Michael Giacchino","nm0315974",8,"composer","man","white","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Mahyar Abousaeedi","nm1743277",9,"cinematographer","man","middleeast","cis","straight","nondisabled"
2018,3,"Incredibles 2","tt3606756","Walt Disney Studios Motion Pictures",4410,608581744,608581744,"Jun 15","Erik Smitt","nm1733986",10,"cinematographer","man","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Chris Pratt","nm0695435",1,"actor","man","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Bryce Dallas Howard","nm0397171",2,"actor","woman","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Rafe Spall","nm1245863",3,"actor","man","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Justice Smith","nm6819854",4,"actor","man","black","cis","lgb","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","J.A. Bayona","nm1291105",5,"director","man","latinx","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Derek Connolly","nm2081046",6,"writer","man","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Colin Trevorrow","nm1119880",7,"writer","man","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Michael Crichton","nm0000341",8,"writer","man","white","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Belén Atienza","nm1428086",9,"producer","woman","latinx","cis","straight","nondisabled"
2018,4,"Jurassic World: Fallen Kingdom","tt4881806","Universal Pictures",4485,417719760,417719760,"Jun 22","Patrick Crowley","nm0189777",10,"producer","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Ryan Reynolds","nm0005351",1,"actor","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Josh Brolin","nm0000982",2,"actor","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Morena Baccarin","nm1072555",3,"actor","woman","latinx","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Julian Dennison","nm5421877",4,"actor","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","David Leitch","nm0500610",5,"director","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Rhett Reese","nm1014201",6,"writer","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Paul Wernick","nm1116660",7,"writer","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Rob Liefeld","nm0509580",8,"writer","man","white","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Fabian Nicieza","nm1436760",9,"writer","man","latinx","cis","straight","nondisabled"
2018,5,"Deadpool 2","tt5463162","Twentieth Century Fox",4349,318491426,318491426,"May 18","Simon Kinberg","nm1334526",10,"producer","man","white","cis","straight","nondisabled"
2018,6,"The Grinch","tt2709692","Universal Pictures",4141,266280410,270620950,"Nov 9","Benedict Cumberbatch","nm1212722",1,"actor","man","white","cis","straight","nondisabled"
2018,6,"The Grinch","tt2709692","Universal Pictures",4141,266280410,270620950,"Nov 9","Cameron Seely","nm7372981",2,"actor","woman","white","cis","straight","nondisabled"
2018,6,"The Grinch","tt2709692","Universal Pictures",4141,266280410,270620950,"Nov 9","Rashida Jones","nm0429069",3,"actor","woman","black","cis","straight","nondisabled"
2018,6,"The Grinch","tt2709692","Universal Pictures",4141,266280410,270620950,"Nov 9","Pharrell Williams","nm1214289",4,"actor","man","black","cis","straight","nondisabled"
